,municipio,latitude,longitude,ddd,estado
1585,Dois Irmãos do Tocantins,-9.25534,-49.0638,63,TO
1586,Dois Lajeados,-28.983,-51.8396,54,RS
1587,Dois Riachos,-9.38465,-37.0965,82,AL
1588,Dois Vizinhos,-25.7407,-53.057,46,PR
1589,Dolcinópolis,-20.124,-50.5149,17,SP
1590,Dom Aquino,-15.8099,-54.9223,66,MT
1591,Dom Basílio,-13.7565,-41.7677,77,BA
1592,Dom Bosco,-16.652,-46.2597,38,MG
1593,Dom Cavati,-19.3735,-42.1121,33,MG
1594,Dom Eliseu,-4.19944,-47.8245,94,PA
1595,Dom Expedito Lopes,-6.95332,-41.6396,89,PI
1596,Dom Feliciano,-30.7004,-52.1026,51,RS
1597,Dom Inocêncio,-9.00516,-41.9697,89,PI
1598,Dom Joaquim,-18.961,-43.2544,31,MG
1599,Dom Macedo Costa,-12.9016,-39.1923,75,BA
1600,Dom Pedrito,-30.9756,-54.6694,53,RS
1601,Dom Pedro,-5.03518,-44.4409,99,MA
1602,Dom Pedro de Alcântara,-29.3639,-49.853,51,RS
1603,Dom Silvério,-20.1627,-42.9627,31,MG
1604,Dom Viçoso,-22.2511,-45.1643,35,MG
1605,Domingos Martins,-20.3603,-40.6594,27,ES
1606,Domingos Mourão,-4.2495,-41.2683,86,PI
1607,Dona Emma,-26.981,-49.7261,47,SC
1608,Dona Eusébia,-21.319,-42.807,32,MG
1609,Dona Francisca,-29.6195,-53.3617,55,RS
1610,Dona Inês,-6.61566,-35.6205,83,PB
1611,Dores de Campos,-21.1139,-44.0207,32,MG
1612,Dores de Guanhães,-19.0516,-42.9254,33,MG
1613,Dores do Indaiá,-19.4628,-45.5927,37,MG
1614,Dores do Rio Preto,-20.6931,-41.8405,28,ES
1615,Dores do Turvo,-20.9785,-43.1834,32,MG
1616,Doresópolis,-20.2868,-45.9007,37,MG
1617,Dormentes,-8.44116,-40.7662,87,PE
1618,Douradina,-22.0405,-54.6158,67,MS
1619,Douradina,-23.3807,-53.2918,44,PR
1620,Dourado,-22.1044,-48.3178,16,SP
1621,Douradoquara,-18.4338,-47.5993,34,MG
1622,Dourados,-22.2231,-54.812,67,MS
1623,Doutor Camargo,-23.5582,-52.2178,44,PR
1624,Doutor Maurício Cardoso,-27.5103,-54.3577,55,RS
1625,Doutor Pedrinho,-26.7174,-49.4795,47,SC
1626,Doutor Ricardo,-29.084,-51.9972,51,RS
1627,Doutor Severiano,-6.08082,-38.3794,84,RN
1628,Doutor Ulysses,-24.5665,-49.4219,41,PR
1629,Doverlândia,-16.7188,-52.3189,64,GO
1630,Dracena,-21.4843,-51.535,18,SP
1631,Duartina,-22.4146,-49.4084,14,SP
1632,Duas Barras,-22.0536,-42.5232,22,RJ
1633,Duas Estradas,-6.68499,-35.418,83,PB
1634,Dueré,-11.3416,-49.2716,63,TO
1635,Dumont,-21.2324,-47.9756,16,SP
1636,Duque Bacelar,-4.15002,-42.9477,98,MA
1637,Duque de Caxias,-22.7858,-43.3049,21,RJ
1638,Durandé,-20.2058,-41.7977,33,MG
1639,Echaporã,-22.4326,-50.2038,18,SP
1640,Ecoporanga,-18.3702,-40.836,27,ES
1641,Edealina,-17.4239,-49.6644,64,GO
1642,Edéia,-17.3406,-49.9295,64,GO
1643,Eirunepé,-6.65677,-69.8662,97,AM
1644,Eldorado,-23.7868,-54.2838,67,MS
1645,Eldorado,-24.5281,-48.1141,13,SP
1646,Eldorado do Carajás,-6.10389,-49.3553,94,PA
1647,Eldorado do Sul,-30.0847,-51.6187,51,RS
1648,Elesbão Veloso,-6.19947,-42.1355,86,PI
1649,Elias Fausto,-23.0428,-47.3682,19,SP
1650,Eliseu Martins,-8.09629,-43.6705,89,PI
1651,Elisiário,-21.1678,-49.1146,17,SP
1652,Elísio Medrado,-12.9417,-39.5191,75,BA
1653,Elói Mendes,-21.6088,-45.5691,35,MG
1654,Emas,-7.09964,-37.7163,83,PB
1655,Embaúba,-20.9796,-48.8325,17,SP
1656,Embu das Artes,-23.6437,-46.8579,11,SP
1657,Embu-Guaçu,-23.8297,-46.8136,11,SP
1658,Emilianópolis,-21.8314,-51.4832,18,SP
1659,Encantado,-29.2351,-51.8703,51,RS
1660,Encanto,-6.10691,-38.3033,84,RN
1661,Encruzilhada,-15.5302,-40.9124,77,BA
1662,Encruzilhada do Sul,-30.543,-52.5204,51,RS
