,municipio,latitude,longitude,ddd,estado
0,Abadia de Goiás,-16.7573,-49.4412,62,GO
1,Abadia dos Dourados,-18.4831,-47.3916,34,MG
2,Abadiânia,-16.197,-48.7057,62,GO
3,Abaeté,-19.1551,-45.4444,37,MG
4,Abaetetuba,-1.72183,-48.8788,91,PA
5,Abaiara,-7.34588,-39.0416,88,CE
6,Abaíra,-13.2488,-41.6619,77,BA
7,Abaré,-8.72073,-39.1162,75,BA
8,Abatiá,-23.3049,-50.3133,43,PR
9,Abdon Batista,-27.6126,-51.0233,49,SC
10,Abel Figueiredo,-4.95333,-48.3933,94,PA
11,Abelardo Luz,-26.5716,-52.3229,49,SC
12,Abre Campo,-20.2996,-42.4743,31,MG
13,Abreu e Lima,-7.90072,-34.8984,81,PE
14,Abreulândia,-9.62101,-49.1518,63,TO
15,Acaiaca,-20.359,-43.1439,31,MG
16,Açailândia,-4.94714,-47.5004,99,MA
17,Acajutiba,-11.6575,-38.0197,75,BA
18,Acará,-1.95383,-48.1985,91,PA
19,Acarape,-4.22083,-38.7055,85,CE
20,Acaraú,-2.88769,-40.1183,88,CE
21,Acari,-6.4282,-36.6347,84,RN
22,Acauã,-8.21954,-41.0831,89,PI
23,Aceguá,-31.8665,-54.1615,53,RS
24,Acopiara,-6.08911,-39.448,88,CE
25,Acorizal,-15.194,-56.3632,65,MT
26,Acrelândia,-9.82581,-66.8972,68,AC
27,Acreúna,-17.396,-50.3749,64,GO
28,Açu,-5.58362,-36.914,84,RN
29,Açucena,-19.0671,-42.5419,33,MG
30,Adamantina,-21.682,-51.0737,18,SP
31,Adelândia,-16.4127,-50.1657,64,GO
32,Adolfo,-21.2325,-49.6451,17,SP
33,Adrianópolis,-24.6606,-48.9922,41,PR
34,Adustina,-10.5437,-38.1113,75,BA
35,Afogados da Ingazeira,-7.74312,-37.631,87,PE
36,Afonso Bezerra,-5.49229,-36.5075,84,RN
37,Afonso Cláudio,-20.0778,-41.1261,27,ES
38,Afonso Cunha,-4.13631,-43.3275,98,MA
39,Afrânio,-8.51136,-41.0095,87,PE
40,Afuá,-0.154874,-50.3861,91,PA
41,Agrestina,-8.45966,-35.9447,81,PE
42,Agricolândia,-5.79676,-42.6664,86,PI
43,Agrolândia,-27.4087,-49.822,47,SC
44,Agronômica,-27.2662,-49.708,47,SC
45,Água Azul do Norte,-6.79053,-50.4791,94,PA
46,Água Boa,-17.9914,-42.3806,33,MG
47,Água Boa,-14.051,-52.1601,66,MT
48,Água Branca,-5.88856,-42.637,86,PI
49,Água Branca,-7.51144,-37.6357,83,PB
50,Água Branca,-9.262,-37.938,82,AL
51,Água Clara,-20.4452,-52.879,67,MS
52,Água Comprida,-20.0576,-48.1069,34,MG
53,Água Doce,-26.9985,-51.5528,49,SC
54,Água Doce do Maranhão,-2.84048,-42.1189,98,MA
55,Água Doce do Norte,-18.5482,-40.9854,27,ES
56,Água Fria,-11.8618,-38.7639,75,BA
57,Água Fria de Goiás,-14.9778,-47.7823,62,GO
58,Água Limpa,-18.0771,-48.7603,64,GO
59,Água Nova,-6.20351,-38.2941,84,RN
60,Água Preta,-8.70609,-35.5263,81,PE
61,Água Santa,-28.1672,-52.031,54,RS
62,Aguaí,-22.0572,-46.9735,19,SP
63,Aguanil,-20.9439,-45.3915,35,MG
64,Águas Belas,-9.11125,-37.1226,87,PE
65,Águas da Prata,-21.9319,-46.7176,19,SP
66,Águas de Chapecó,-27.0754,-52.9808,49,SC
67,Águas de Lindóia,-22.4733,-46.6314,19,SP
68,Águas de Santa Bárbara,-22.8812,-49.2421,14,SP
69,Águas de São Pedro,-22.5977,-47.8734,19,SP
70,Águas Formosas,-17.0802,-40.9384,33,MG
71,Águas Frias,-26.8794,-52.8568,49,SC
72,Águas Lindas de Goiás,-15.7617,-48.2816,61,DF
73,Águas Mornas,-27.6963,-48.8243,48,SC
74,Águas Vermelhas,-15.7431,-41.4571,33,MG
75,Agudo,-29.6447,-53.2515,55,RS
76,Agudos,-22.4694,-48.9863,14,SP
77,Agudos do Sul,-25.9899,-49.3343,41,PR
78,Águia Branca,-18.9846,-40.7437,27,ES
79,Aguiar,-7.0918,-38.1681,83,PB
80,Aguiarnópolis,-6.55409,-47.4702,63,TO
81,Aimorés,-19.5007,-41.0746,33,MG
82,Aiquara,-14.1269,-39.8937,73,BA
83,Aiuaba,-6.57122,-40.1178,88,CE
84,Aiuruoca,-21.9736,-44.6042,35,MG
85,Ajuricaba,-28.2342,-53.7757,55,RS
86,Alagoa,-22.171,-44.6413,35,MG
87,Alagoa Grande,-7.03943,-35.6206,83,PB
88,Alagoa Nova,-7.05377,-35.7591,83,PB
89,Alagoinha,-6.94657,-35.5332,83,PB
90,Alagoinha,-8.4665,-36.7788,87,PE
91,Alagoinha do Piauí,-7.00039,-40.9282,89,PI
92,Alagoinhas,-12.1335,-38.4208,75,BA
93,Alambari,-23.5503,-47.898,15,SP
94,Albertina,-22.2018,-46.6139,35,MG
95,Alcântara,-2.39574,-44.4062,98,MA
96,Alcântaras,-3.58537,-40.5479,88,CE
97,Alcantil,-7.73668,-36.0511,83,PB
98,Alcinópolis,-18.3255,-53.7042,67,MS
99,Alcobaça,-17.5195,-39.2036,73,BA
100,Aldeias Altas,-4.62621,-43.4689,99,MA
101,Alecrim,-27.6579,-54.7649,55,RS
102,Alegre,-20.758,-41.5382,28,ES
103,Alegrete,-29.7902,-55.7949,55,RS
104,Alegrete do Piauí,-7.24196,-40.8566,89,PI
105,Alegria,-27.8345,-54.0557,55,RS
106,Além Paraíba,-21.8797,-42.7176,32,MG
107,Alenquer,-1.94623,-54.7384,93,PA
108,Alexandria,-6.40533,-38.0142,84,RN
109,Alexânia,-16.0834,-48.5076,62,GO
110,Alfenas,-21.4256,-45.9477,35,MG
111,Alfredo Chaves,-20.6396,-40.7543,27,ES
112,Alfredo Marcondes,-21.9527,-51.414,18,SP
113,Alfredo Vasconcelos,-21.1535,-43.7718,32,MG
114,Alfredo Wagner,-27.7001,-49.3273,48,SC
115,Algodão de Jandaíra,-6.89292,-36.0129,83,PB
116,Alhandra,-7.42977,-34.9057,83,PB
117,Aliança,-7.60398,-35.2227,81,PE
118,Aliança do Tocantins,-11.3056,-48.9361,63,TO
119,Almadina,-14.7089,-39.6415,73,BA
120,Almas,-11.5706,-47.1792,63,TO
121,Almeirim,-1.52904,-52.5788,93,PA
122,Almenara,-16.1785,-40.6942,33,MG
123,Almino Afonso,-6.1475,-37.7636,84,RN
124,Almirante Tamandaré,-25.3188,-49.3037,41,PR
125,Almirante Tamandaré do Sul,-28.1149,-52.9142,54,RS
126,Aloândia,-17.7292,-49.4769,64,GO
127,Alpercata,-18.974,-41.97,33,MG
128,Alpestre,-27.2502,-53.0341,55,RS
129,Alpinópolis,-20.8631,-46.3878,35,MG
130,Alta Floresta,-9.86674,-56.0867,66,MT
131,Alta Floresta D'Oeste,-11.9283,-61.9953,69,RO
132,Altair,-20.5242,-49.0571,17,SP
133,Altamira,-3.20407,-52.21,93,PA
134,Altamira do Maranhão,-4.16598,-45.4706,98,MA
135,Altamira do Paraná,-24.7983,-52.7128,44,PR
136,Altaneira,-6.99837,-39.7356,88,CE
137,Alterosa,-21.2488,-46.1387,35,MG
138,Altinho,-8.48482,-36.0644,81,PE
139,Altinópolis,-21.0214,-47.3712,16,SP
140,Alto Alegre,-21.5811,-50.168,18,SP
141,Alto Alegre,2.98858,-61.3072,95,RR
142,Alto Alegre,-28.7769,-52.9893,54,RS
143,Alto Alegre do Maranhão,-4.213,-44.446,99,MA
144,Alto Alegre do Pindaré,-3.66689,-45.8421,98,MA
145,Alto Alegre dos Parecis,-12.132,-61.835,69,RO
146,Alto Araguaia,-17.3153,-53.2181,66,MT
147,Alto Bela Vista,-27.4333,-51.9044,49,SC
148,Alto Boa Vista,-11.6732,-51.3883,66,MT
149,Alto Caparaó,-20.431,-41.8738,32,MG
150,Alto do Rodrigues,-5.28186,-36.75,84,RN
151,Alto Feliz,-29.3919,-51.3123,51,RS
152,Alto Garças,-16.9462,-53.5272,66,MT
153,Alto Horizonte,-14.1978,-49.3378,62,GO
154,Alto Jequitibá,-20.4208,-41.967,33,MG
155,Alto Longá,-5.25634,-42.2096,86,PI
156,Alto Paraguai,-14.5137,-56.4776,65,MT
157,Alto Paraíso,-26.1146,-52.7469,44,PR
158,Alto Paraíso,-9.71429,-63.3188,69,RO
159,Alto Paraíso de Goiás,-14.1305,-47.51,62,GO
160,Alto Paraná,-23.1312,-52.3189,44,PR
161,Alto Parnaíba,-9.10273,-45.9303,99,MA
162,Alto Piquiri,-24.0224,-53.44,44,PR
163,Alto Rio Doce,-21.0281,-43.4067,32,MG
164,Alto Rio Novo,-19.0618,-41.0209,27,ES
165,Alto Santo,-5.50894,-38.2743,88,CE
166,Alto Taquari,-17.8241,-53.2792,66,MT
167,Altônia,-23.8759,-53.8958,44,PR
168,Altos,-5.03888,-42.4612,86,PI
169,Alumínio,-23.5306,-47.2546,11,SP
170,Alvarães,-3.22727,-64.8007,97,AM
171,Alvarenga,-19.4174,-41.7317,33,MG
172,Álvares Florence,-20.3203,-49.9141,17,SP
173,Álvares Machado,-22.0764,-51.4722,18,SP
174,Álvaro de Carvalho,-22.0841,-49.719,14,SP
175,Alvinlândia,-22.4435,-49.7623,14,SP
176,Alvinópolis,-20.1098,-43.0535,31,MG
177,Alvorada,-12.4785,-49.1249,63,TO
178,Alvorada,-29.9914,-51.0809,51,RS
179,Alvorada D'Oeste,-11.3463,-62.2847,69,RO
180,Alvorada de Minas,-18.7334,-43.3638,31,MG
181,Alvorada do Gurguéia,-8.42418,-43.777,89,PI
182,Alvorada do Norte,-14.4797,-46.491,62,GO
183,Alvorada do Sul,-22.7813,-51.2297,43,PR
184,Amajari,3.64571,-61.3692,95,RR
185,Amambai,-23.1058,-55.2253,67,MS
186,Amapá,2.05267,-50.7957,96,AP
187,Amapá do Maranhão,-1.67524,-46.0024,98,MA
188,Amaporã,-23.0943,-52.7866,44,PR
189,Amaraji,-8.37691,-35.4501,81,PE
190,Amaral Ferrador,-30.8756,-52.2509,51,RS
191,Amaralina,-13.9236,-49.2962,62,GO
192,Amarante,-6.24304,-42.8433,86,PI
193,Amarante do Maranhão,-5.56913,-46.7473,99,MA
194,Amargosa,-13.0215,-39.602,75,BA
195,Amaturá,-3.37455,-68.2005,97,AM
196,Amélia Rodrigues,-12.3914,-38.7563,75,BA
197,América Dourada,-11.4429,-41.439,74,BA
198,Americana,-22.7374,-47.3331,19,SP
199,Americano do Brasil,-16.2514,-49.9831,64,GO
200,Américo Brasiliense,-21.7288,-48.1147,16,SP
201,Américo de Campos,-20.2985,-49.7359,17,SP
202,Ametista do Sul,-27.3607,-53.183,55,RS
203,Amontada,-3.36017,-39.8288,88,CE
204,Amorinópolis,-16.6151,-51.0919,64,GO
205,Amparo,-7.55502,-37.0628,83,PB
206,Amparo,-22.7088,-46.772,19,SP
207,Amparo de São Francisco,-10.1348,-36.935,79,SE
208,Amparo do Serra,-20.5051,-42.8009,31,MG
209,Ampére,-25.9168,-53.4686,46,PR
210,Anadia,-9.68489,-36.3078,82,AL
211,Anagé,-14.6151,-41.1356,77,BA
212,Anahy,-24.6449,-53.1332,45,PR
213,Anajás,-0.996811,-49.9354,91,PA
214,Anajatuba,-3.26269,-44.6126,98,MA
215,Analândia,-22.1289,-47.6619,19,SP
216,Anamã,-3.56697,-61.3963,97,AM
217,Ananás,-6.36437,-48.0735,63,TO
218,Ananindeua,-1.36391,-48.3743,91,PA
219,Anápolis,-16.3281,-48.953,62,GO
220,Anapu,-3.46985,-51.2003,91,PA
221,Anapurus,-3.67577,-43.1014,98,MA
222,Anastácio,-20.4823,-55.8104,67,MS
223,Anaurilândia,-22.1852,-52.7191,67,MS
224,Anchieta,-26.5382,-53.3319,49,SC
225,Anchieta,-20.7955,-40.6425,28,ES
226,Andaraí,-12.8049,-41.3297,75,BA
227,Andirá,-23.0533,-50.2304,43,PR
228,Andorinha,-10.3482,-39.8391,74,BA
229,Andradas,-22.0695,-46.5724,35,MG
230,Andradina,-20.8948,-51.3786,18,SP
231,André da Rocha,-28.6283,-51.5797,54,RS
232,Andrelândia,-21.7411,-44.3117,35,MG
233,Angatuba,-23.4917,-48.4139,15,SP
234,Angelândia,-17.7279,-42.2641,33,MG
235,Angélica,-22.1527,-53.7708,67,MS
236,Angelim,-8.88429,-36.2902,87,PE
237,Angelina,-27.5704,-48.9879,48,SC
238,Angical,-12.0063,-44.7003,77,BA
239,Angical do Piauí,-6.08786,-42.74,86,PI
240,Angico,-6.39179,-47.8611,63,TO
241,Angicos,-5.65792,-36.6094,84,RN
242,Angra dos Reis,-23.0011,-44.3196,24,RJ
243,Anguera,-12.1462,-39.2462,75,BA
244,Ângulo,-23.1946,-51.9154,44,PR
245,Anhanguera,-18.3339,-48.2204,64,GO
246,Anhembi,-22.793,-48.1336,14,SP
247,Anhumas,-22.2934,-51.3895,18,SP
248,Anicuns,-16.4642,-49.9617,64,GO
249,Anísio de Abreu,-9.18564,-43.0494,89,PI
250,Anita Garibaldi,-27.6897,-51.1271,49,SC
251,Anitápolis,-27.9012,-49.1316,48,SC
252,Anori,-3.74603,-61.6575,97,AM
253,Anta Gorda,-28.9698,-52.0102,51,RS
254,Antas,-10.3856,-38.3401,75,BA
255,Antonina,-25.4386,-48.7191,41,PR
256,Antonina do Norte,-6.76919,-39.987,88,CE
257,Antônio Almeida,-7.21276,-44.1889,89,PI
258,Antônio Cardoso,-12.4335,-39.1176,75,BA
259,Antônio Carlos,-27.5191,-48.766,48,SC
260,Antônio Carlos,-21.321,-43.7451,32,MG
261,Antônio Dias,-19.6491,-42.8732,31,MG
262,Antônio Gonçalves,-10.5767,-40.2785,74,BA
263,Antônio João,-22.1927,-55.9517,67,MS
264,Antônio Martins,-6.21367,-37.8834,84,RN
265,Antônio Olinto,-25.9804,-50.1972,42,PR
266,Antônio Prado,-28.8565,-51.2883,54,RS
267,Antônio Prado de Minas,-21.0192,-42.1109,32,MG
268,Aparecida,-6.78466,-38.0803,83,PB
269,Aparecida,-22.8495,-45.2325,12,SP
270,Aparecida d'Oeste,-20.4487,-50.8835,17,SP
271,Aparecida de Goiânia,-16.8198,-49.2469,62,GO
272,Aparecida do Rio Doce,-18.2941,-51.1516,64,GO
273,Aparecida do Rio Negro,-9.94139,-47.9638,63,TO
274,Aparecida do Taboado,-20.0873,-51.0961,67,MS
275,Aperibé,-21.6252,-42.1017,22,RJ
276,Apiacá,-21.1523,-41.5693,28,ES
277,Apiacás,-9.53981,-57.4587,66,MT
278,Apiaí,-24.5108,-48.8443,15,SP
279,Apicum-Açu,-1.45862,-45.0864,98,MA
280,Apiúna,-27.0375,-49.3885,47,SC
281,Apodi,-5.65349,-37.7946,84,RN
282,Aporá,-11.6577,-38.0814,75,BA
283,Aporé,-18.9607,-51.9232,64,GO
284,Apuarema,-13.8542,-39.7501,73,BA
285,Apucarana,-23.55,-51.4635,43,PR
286,Apuí,-7.19409,-59.896,97,AM
287,Apuiarés,-3.94506,-39.4359,85,CE
288,Aquidabã,-10.278,-37.0148,79,SE
289,Aquidauana,-20.4666,-55.7868,67,MS
290,Aquiraz,-3.89929,-38.3896,85,CE
291,Arabutã,-27.1587,-52.1423,49,SC
292,Araçagi,-6.84374,-35.3737,83,PB
293,Araçaí,-19.1955,-44.2493,31,MG
294,Aracaju,-10.9091,-37.0677,79,SE
295,Araçariguama,-23.4366,-47.0608,11,SP
296,Araças,-12.22,-38.2027,75,BA
297,Aracati,-4.55826,-37.7679,88,CE
298,Aracatu,-14.428,-41.4648,77,BA
299,Araçatuba,-21.2076,-50.4401,18,SP
300,Araci,-11.3253,-38.9584,75,BA
301,Aracitaba,-21.3446,-43.3736,32,MG
302,Araçoiaba,-7.78391,-35.0809,81,PE
303,Aracoiaba,-4.36872,-38.8125,85,CE
304,Araçoiaba da Serra,-23.5029,-47.6166,15,SP
305,Aracruz,-19.82,-40.2764,27,ES
306,Araçu,-16.3563,-49.6804,62,GO
307,Araçuaí,-16.8523,-42.0637,33,MG
308,Aragarças,-15.8955,-52.2372,64,GO
309,Aragoiânia,-16.9087,-49.4476,62,GO
310,Aragominas,-7.16005,-48.5291,63,TO
311,Araguacema,-8.80755,-49.5569,63,TO
312,Araguaçu,-12.9289,-49.8231,63,TO
313,Araguaiana,-15.7291,-51.8341,66,MT
314,Araguaína,-7.19238,-48.2044,63,TO
315,Araguainha,-16.857,-53.0318,66,MT
316,Araguanã,-6.58225,-48.6395,63,TO
317,Araguanã,-2.94644,-45.6589,98,MA
318,Araguapaz,-15.0909,-50.6315,62,GO
319,Araguari,-18.6456,-48.1934,34,MG
320,Araguatins,-5.64659,-48.1232,63,TO
321,Araioses,-2.89091,-41.905,98,MA
322,Aral Moreira,-22.9385,-55.6334,67,MS
323,Aramari,-12.0884,-38.4969,75,BA
324,Arambaré,-30.9092,-51.5046,51,RS
325,Arame,-4.88347,-46.0032,99,MA
326,Aramina,-20.0882,-47.7873,16,SP
327,Arandu,-23.1386,-49.0487,14,SP
328,Arantina,-21.9102,-44.2555,32,MG
329,Arapeí,-22.6717,-44.4441,12,SP
330,Arapiraca,-9.75487,-36.6615,82,AL
331,Arapoema,-7.65463,-49.0637,63,TO
332,Araponga,-20.6686,-42.5178,31,MG
333,Arapongas,-23.4153,-51.4259,43,PR
334,Araporã,-18.4357,-49.1847,34,MG
335,Arapoti,-24.1548,-49.8285,43,PR
336,Arapuã,-24.3132,-51.7856,43,PR
337,Arapuá,-19.0268,-46.1484,34,MG
338,Araputanga,-15.4641,-58.3425,65,MT
339,Araquari,-26.3754,-48.7188,47,SC
340,Arara,-6.82813,-35.7552,83,PB
341,Araranguá,-28.9356,-49.4918,48,SC
342,Araraquara,-21.7845,-48.178,16,SP
343,Araras,-22.3572,-47.3842,19,SP
344,Ararendá,-4.74567,-40.831,88,CE
345,Arari,-3.45214,-44.7665,98,MA
346,Araricá,-29.6168,-50.9291,51,RS
347,Araripe,-7.21319,-40.1359,88,CE
348,Araripina,-7.57073,-40.494,87,PE
349,Araruama,-22.8697,-42.3326,22,RJ
350,Araruna,-23.9315,-52.5021,44,PR
351,Araruna,-6.54848,-35.7498,83,PB
352,Arataca,-15.2651,-39.419,73,BA
353,Aratiba,-27.3978,-52.2975,54,RS
354,Aratuba,-4.41229,-39.0471,85,CE
355,Aratuípe,-13.0716,-39.0038,75,BA
356,Arauá,-11.2614,-37.6201,79,SE
357,Araucária,-25.5859,-49.4047,41,PR
358,Araújos,-19.9405,-45.1671,37,MG
359,Araxá,-19.5902,-46.9438,34,MG
360,Arceburgo,-21.359,-46.9401,35,MG
361,Arco-Íris,-21.7728,-50.466,14,SP
362,Arcos,-20.2863,-45.5373,37,MG
363,Arcoverde,-8.41519,-37.0577,87,PE
364,Areado,-21.3572,-46.1421,35,MG
365,Areal,-22.2283,-43.1118,24,RJ
366,Arealva,-22.031,-48.9135,14,SP
367,Areia,-6.96396,-35.6977,83,PB
368,Areia Branca,-4.95254,-37.1252,84,RN
369,Areia Branca,-10.758,-37.3251,79,SE
370,Areia de Baraúnas,-7.11702,-36.9404,83,PB
371,Areial,-7.04789,-35.9313,83,PB
372,Areias,-22.5786,-44.6992,12,SP
373,Areiópolis,-22.6672,-48.6681,14,SP
374,Arenápolis,-14.4472,-56.8437,65,MT
375,Arenópolis,-16.3837,-51.5563,64,GO
376,Arês,-6.18831,-35.1608,84,RN
377,Argirita,-21.6083,-42.8292,32,MG
378,Aricanduva,-17.8666,-42.5533,33,MG
379,Arinos,-15.9187,-46.1043,38,MG
380,Aripuanã,-10.1723,-59.4568,66,MT
381,Ariquemes,-9.90571,-63.0325,69,RO
382,Ariranha,-21.1872,-48.7904,17,SP
383,Ariranha do Ivaí,-24.3857,-51.5839,43,PR
384,Armação dos Búzios,-22.7528,-41.8846,22,RJ
385,Armazém,-28.2448,-49.0215,48,SC
386,Arneiroz,-6.3165,-40.1653,88,CE
387,Aroazes,-6.11022,-41.7822,89,PI
388,Aroeiras,-7.54473,-35.7066,83,PB
389,Aroeiras do Itaim,-7.24502,-41.5325,89,PI
390,Arraial,-6.65075,-42.5418,89,PI
391,Arraial do Cabo,-22.9774,-42.0267,22,RJ
392,Arraias,-12.9287,-46.9359,63,TO
393,Arroio do Meio,-29.4014,-51.9557,51,RS
394,Arroio do Padre,-31.4389,-52.4246,53,RS
395,Arroio do Sal,-29.5439,-49.8895,51,RS
396,Arroio do Tigre,-29.3348,-53.0966,51,RS
397,Arroio dos Ratos,-30.0875,-51.7275,51,RS
398,Arroio Grande,-32.2327,-53.0862,53,RS
399,Arroio Trinta,-26.9257,-51.3407,49,SC
400,Artur Nogueira,-22.5727,-47.1727,19,SP
401,Aruanã,-14.9166,-51.075,62,GO
402,Arujá,-23.3965,-46.32,11,SP
403,Arvoredo,-27.0748,-52.4543,49,SC
404,Arvorezinha,-28.8737,-52.1781,51,RS
405,Ascurra,-26.9548,-49.3783,47,SC
406,Aspásia,-20.16,-50.728,17,SP
407,Assaí,-23.3697,-50.8459,43,PR
408,Assaré,-6.8669,-39.8689,88,CE
409,Assis,-22.66,-50.4183,18,SP
410,Assis Brasil,-10.9298,-69.5738,68,AC
411,Assis Chateaubriand,-24.4168,-53.5213,44,PR
412,Assunção,-7.07231,-36.725,83,PB
413,Assunção do Piauí,-5.865,-41.0389,86,PI
414,Astolfo Dutra,-21.3184,-42.8572,32,MG
415,Astorga,-23.2318,-51.6668,44,PR
416,Atalaia,-23.1517,-52.0551,44,PR
417,Atalaia,-9.5119,-36.0086,82,AL
418,Atalaia do Norte,-4.37055,-70.1967,97,AM
419,Atalanta,-27.4219,-49.7789,47,SC
420,Ataléia,-18.0438,-41.1149,33,MG
421,Atibaia,-23.1171,-46.5563,11,SP
422,Atilio Vivacqua,-20.913,-41.1986,28,ES
423,Augustinópolis,-5.46863,-47.8863,63,TO
424,Augusto Corrêa,-1.05109,-46.6147,91,PA
425,Augusto de Lima,-18.0997,-44.2655,38,MG
426,Augusto Pestana,-28.5172,-53.9883,55,RS
427,Augusto Severo (Campo Grande),-5.86206,-37.3135,84,RN
428,Áurea,-27.6936,-52.0505,54,RS
429,Aurelino Leal,-14.321,-39.329,73,BA
430,Auriflama,-20.6836,-50.5572,17,SP
431,Aurilândia,-16.6773,-50.4641,64,GO
432,Aurora,-6.93349,-38.9742,88,CE
433,Aurora,-27.3098,-49.6295,47,SC
434,Aurora do Pará,-2.14898,-47.5677,91,PA
435,Aurora do Tocantins,-12.7105,-46.4076,63,TO
436,Autazes,-3.58574,-59.1256,92,AM
437,Avaí,-22.1514,-49.3356,14,SP
438,Avanhandava,-21.4584,-49.9509,18,SP
439,Avaré,-23.1067,-48.9251,14,SP
440,Aveiro,-3.60841,-55.3199,93,PA
441,Avelino Lopes,-10.1345,-43.9563,89,PI
442,Avelinópolis,-16.4672,-49.7579,64,GO
443,Axixá,-2.83939,-44.062,98,MA
444,Axixá do Tocantins,-5.61275,-47.7701,63,TO
445,Babaçulândia,-7.20923,-47.7613,63,TO
446,Bacabal,-4.22447,-44.7832,99,MA
447,Bacabeira,-2.96452,-44.3164,98,MA
448,Bacuri,-1.6965,-45.1328,98,MA
449,Bacurituba,-2.71,-44.7329,98,MA
450,Bady Bassitt,-20.9197,-49.4385,17,SP
451,Baependi,-21.957,-44.8874,35,MG
452,Bagé,-31.3297,-54.0999,53,RS
453,Bagre,-1.90057,-50.1987,91,PA
454,Baía da Traição,-6.69209,-34.9381,83,PB
455,Baía Formosa,-6.37161,-35.0033,84,RN
456,Baianópolis,-12.3016,-44.5388,77,BA
457,Baião,-2.79021,-49.6694,91,PA
458,Baixa Grande,-11.9519,-40.169,74,BA
459,Baixa Grande do Ribeiro,-7.84903,-45.219,89,PI
460,Baixio,-6.71945,-38.7134,88,CE
461,Baixo Guandu,-19.5213,-41.0109,27,ES
462,Balbinos,-21.8963,-49.3619,14,SP
463,Baldim,-19.2832,-43.9613,31,MG
464,Baliza,-16.1966,-52.5393,64,GO
465,Balneário Arroio do Silva,-28.9806,-49.4237,48,SC
466,Balneário Barra do Sul,-26.4597,-48.6123,47,SC
467,Balneário Camboriú,-26.9926,-48.6352,47,SC
468,Balneário Gaivota,-29.1527,-49.5841,48,SC
469,Balneário Piçarras,-26.7639,-48.6717,47,SC
470,Balneário Pinhal,-30.2419,-50.2337,51,RS
471,Balneário Rincão,-28.8314,-49.2352,48,SC
472,Balsa Nova,-25.5804,-49.6291,41,PR
473,Bálsamo,-20.7348,-49.5865,17,SP
474,Balsas,-7.53214,-46.0372,99,MA
475,Bambuí,-20.0166,-45.9754,37,MG
476,Banabuiú,-5.30454,-38.9132,88,CE
477,Bananal,-22.6819,-44.3281,12,SP
478,Bananeiras,-6.74775,-35.6246,83,PB
479,Bandeira,-15.8783,-40.5622,33,MG
480,Bandeira do Sul,-21.7308,-46.3833,35,MG
481,Bandeirante,-26.7705,-53.6413,49,SC
482,Bandeirantes,-19.9275,-54.3585,67,MS
483,Bandeirantes,-23.1078,-50.3704,43,PR
484,Bandeirantes do Tocantins,-7.75612,-48.5836,63,TO
485,Bannach,-7.34779,-50.3959,94,PA
486,Banzaê,-10.5788,-38.6212,75,BA
487,Barão,-29.3725,-51.4949,51,RS
488,Barão de Antonina,-23.6284,-49.5634,15,SP
489,Barão de Cocais,-19.9389,-43.4755,31,MG
490,Barão de Cotegipe,-27.6208,-52.3798,54,RS
491,Barão de Grajaú,-6.74463,-43.0261,99,MA
492,Barão de Melgaço,-16.2067,-55.9623,65,MT
493,Barão de Monte Alto,-21.2444,-42.2372,32,MG
494,Barão do Triunfo,-30.3891,-51.7384,51,RS
495,Baraúna,-5.06977,-37.6129,84,RN
496,Baraúna,-6.63484,-36.2601,83,PB
497,Barbacena,-21.2214,-43.7703,32,MG
498,Barbalha,-7.2982,-39.3021,88,CE
499,Barbosa,-21.2657,-49.9518,18,SP
500,Barbosa Ferraz,-24.0334,-52.004,44,PR
501,Barcarena,-1.51187,-48.6195,91,PA
502,Barcelona,-5.94284,-35.9247,84,RN
503,Barcelos,-0.983373,-62.9311,97,AM
504,Bariri,-22.073,-48.7438,14,SP
505,Barra,-11.0859,-43.1459,74,BA
506,Barra Bonita,-26.654,-53.44,49,SC
507,Barra Bonita,-22.4909,-48.5583,14,SP
508,Barra D'Alcântara,-6.51645,-42.1146,89,PI
509,Barra da Estiva,-13.6237,-41.3347,77,BA
510,Barra de Guabiraba,-8.42075,-35.6585,81,PE
511,Barra de Santa Rosa,-6.71816,-36.0671,83,PB
512,Barra de Santana,-7.51809,-35.9913,83,PB
513,Barra de Santo Antônio,-9.4023,-35.5101,82,AL
514,Barra de São Francisco,-18.7548,-40.8965,27,ES
515,Barra de São Miguel,-7.74603,-36.3209,83,PB
516,Barra de São Miguel,-9.83842,-35.9057,82,AL
517,Barra do Bugres,-15.0702,-57.1878,65,MT
518,Barra do Chapéu,-24.4722,-49.0238,15,SP
519,Barra do Choça,-14.8654,-40.5791,77,BA
520,Barra do Corda,-5.49682,-45.2485,99,MA
521,Barra do Garças,-15.8804,-52.264,66,MT
522,Barra do Guarita,-27.1927,-53.7109,55,RS
523,Barra do Jacaré,-23.116,-50.1842,43,PR
524,Barra do Mendes,-11.81,-42.059,74,BA
525,Barra do Ouro,-7.69593,-47.6776,63,TO
526,Barra do Piraí,-22.4715,-43.8269,24,RJ
527,Barra do Quaraí,-30.2029,-57.5497,55,RS
528,Barra do Ribeiro,-30.2939,-51.3014,51,RS
529,Barra do Rio Azul,-27.4069,-52.4084,54,RS
530,Barra do Rocha,-14.2,-39.5991,73,BA
531,Barra do Turvo,-24.759,-48.5013,15,SP
532,Barra dos Coqueiros,-10.8996,-37.0323,79,SE
